category,pearson,data1_ratio,data2_ratio,Data Count,category1,new category,Apearson,Adata1_ratio,Adata2_ratio
37:52D-16,0.382863785333225,0.000745023832660225,0.000768071889241357,79964,D-16,38:53D-16,0.618872181076005,0.0109359162211251,0.0107673220051647
38:53D-16,0.199365754570408,0.00136447239596171,0.00141160317656856,79964,D-16,38:53D-16,0.618872181076005,0.0109359162211251,0.0107673220051647
39:54D-16,0.0234599182865133,7.73117456305958e-05,8.09042589826923e-05,79964,D-16,38:53D-16,0.618872181076005,0.0109359162211251,0.0107673220051647
40:55D-16,0.0040758984542592,1.07033311735372e-05,1.11833222865147e-05,79964,D-16,38:53D-16,0.618872181076005,0.0109359162211251,0.0107673220051647
18:34D-17,0.344992029017741,5.30189121270188e-05,5.03802576568188e-05,79964,D-17,D-17,0.615952252880116,0.0117273712761772,0.0115726212511565
19:35D-17,0.894048860802098,0.000163461207588546,0.000171692940242164,79964,D-17,D-17,0.615952252880116,0.0117273712761772,0.0115726212511565
20:36D-17,0.559815206742028,0.000408142737294173,0.000404125272535344,79964,D-17,D-17,0.615952252880116,0.0117273712761772,0.0115726212511565
21:37D-17,0.617759079786573,0.00089465978314855,0.000879711021143968,79964,D-17,D-17,0.615952252880116,0.0117273712761772,0.0115726212511565
22:38D-17,0.698805360453886,0.000500512427100354,0.000471939169900776,79964,D-17,D-17,0.615952252880116,0.0117273712761772,0.0115726212511565
23:39D-17,0.632206443782574,0.000340886985991042,0.000327319157098367,79964,D-17,D-17,0.615952252880116,0.0117273712761772,0.0115726212511565
24:40D-17,0.677352532577157,0.000339827734668442,0.000330214473581796,79964,D-17,D-17,0.615952252880116,0.0117273712761772,0.0115726212511565
25:41D-17,0.648701227878682,0.000575070361729353,0.000558669349522728,79964,D-17,D-17,0.615952252880116,0.0117273712761772,0.0115726212511565
26:42D-17,0.603772386963441,0.000778665485506802,0.000774741260241866,79964,D-17,D-17,0.615952252880116,0.0117273712761772,0.0115726212511565
27:43D-17,0.54484492730967,0.000671474935288797,0.000657174760017097,79964,D-17,D-17,0.615952252880116,0.0117273712761772,0.0115726212511565
28:44D-17,0.552503950202458,0.000812472586553549,0.000803620234395554,79964,D-17,D-17,0.615952252880116,0.0117273712761772,0.0115726212511565
29:45D-17,0.515462943988989,0.00076491898320447,0.000778618058491669,79964,D-17,D-17,0.615952252880116,0.0117273712761772,0.0115726212511565
30:46D-17,0.475741005576642,0.000718391406827606,0.000682103023582472,79964,D-17,D-17,0.615952252880116,0.0117273712761772,0.0115726212511565
31:47D-17,0.55337768005547,0.000568219858913604,0.000549943444394296,79964,D-17,D-17,0.615952252880116,0.0117273712761772,0.0115726212511565
32:48D-17,0.658956105092298,0.00043110642874149,0.000418284811875862,79964,D-17,D-17,0.615952252880116,0.0117273712761772,0.0115726212511565
33:49D-17,0.608661650023996,0.000376300892712419,0.000363531078715066,79964,D-17,D-17,0.615952252880116,0.0117273712761772,0.0115726212511565
34:50D-17,0.646983771437619,0.000365045740680323,0.00037116830849313,79964,D-17,D-17,0.615952252880116,0.0117273712761772,0.0115726212511565
35:51D-17,0.540051089758318,0.000443593898244854,0.000440119180662798,79964,D-17,D-17,0.615952252880116,0.0117273712761772,0.0115726212511565
36:52D-17,0.465696161496631,0.000554525775828073,0.000548523374118891,79964,D-17,D-17,0.615952252880116,0.0117273712761772,0.0115726212511565
37:53D-17,0.34774694696197,0.000697449010792691,0.000701791291874985,79964,D-17,D-17,0.615952252880116,0.0117273712761772,0.0115726212511565
